Team,SRS,Points Per Game,Points Allowed Per Game,Total DVOA,Variance
Cardinals,60,19.4,26.8,-20.4,16.6
Falcons,81,18.9,21.9,-18.6,12.7
Ravens,172,28.4,16.5,45.5,21.4
Bills,146,26.5,18.3,24.1,18.2
Panthers,39,13.9,24.5,-35.3,4.0
Bears,93,21.2,22.3,-7.1,13.9
Bengals,95,21.5,22.6,4.3,19.9
Browns,112,23.3,21.3,8.8,18.0
Cowboys,162,29.9,18.5,19.1,14.9
Broncos,82,21.0,24.3,-11.9,11.9
Lions,122,27.1,23.2,17.0,15.3
Packers,111,22.5,20.6,1.6,18.5
Texans,108,22.2,20.8,3.1,17.3
Colts,94,23.3,24.4,-3.8,14.5
Jaguars,102,22.2,21.8,4.4,17.5
Chiefs,126,21.8,17.3,17.9,10.9
Raiders,100,19.5,19.5,-5.3,13.2
Chargers,83,20.4,23.4,-3.2,11.0
Rams,110,23.8,22.2,-0.3,11.7
Dolphins,134,29.2,23.0,17.6,17.8
Vikings,94,20.2,21.3,-7.2,7.7
Patriots,57,13.9,21.5,-15.8,15.3
Saints,123,23.6,19.2,1.0,12.0
Giants,53,15.6,23.9,-26.6,19.1
Jets,71,15.8,20.9,-12.5,18.1
Eagles,102,25.5,25.2,1.1,14.3
Steelers,94,17.9,19.1,7.8,18.6
49ers,164,28.9,17.5,39.4,13.7
Seahawks,88,21.4,23.6,-0.1,5.5
Buccaneers,108,20.5,19.1,-1.2,18.7
Titans,80,17.9,21.6,-13.4,11.7
Commanders,36,19.4,30.5,-28.5,8.6